2014 WA Senate Election Senate Group Voting Tickets [Event:17875 Phase:FinalResults Generated:2014-05-28T13:16:47 Cycle:b2873105-897b-4558-a9e2-d17a83d40911 Created:2014-05-28T11:03:19 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.9.16053]
State,OwnerGroupID,OwnerGroupNm,OwnerTicket,TicketNo,CandidateID,CandidateTicket,Surname,GivenNm,BallotPosition,PartyAb,PartyNm,PreferenceNo
WA,1270,The Wikileaks Party,A,1,25324,I,NITSCHKE,Philip,1,VEP,Voluntary Euthanasia Party,8
WA,1270,The Wikileaks Party,A,1,25325,I,DUFFIELD,Jim,2,VEP,Voluntary Euthanasia Party,9
WA,1270,The Wikileaks Party,A,1,25318,J,FRYAR,Jim,1,LDP,Liberal Democrats,46
WA,1270,The Wikileaks Party,A,1,25319,J,HAMILTON,Neil,2,LDP,Liberal Democrats,47
WA,1270,The Wikileaks Party,A,1,25290,K,PARKES,Brian W,1,VCE,Australian Voice Party,55
WA,1270,The Wikileaks Party,A,1,25291,K,BUTLER,Sean,2,VCE,Australian Voice Party,56
WA,1270,The Wikileaks Party,A,1,25344,L,BEZANT,Ken,1,BAP,Building Australia Party,57
WA,1270,The Wikileaks Party,A,1,25345,L,SMEE,Daniel Ross,2,BAP,Building Australia Party,58
WA,1270,The Wikileaks Party,A,1,25352,M,FELS,Anthony James,1,BRP,Mutual Party,44
WA,1270,The Wikileaks Party,A,1,25353,M,CHANDRA,Felly,2,BRP,Mutual Party,45
WA,1270,The Wikileaks Party,A,1,25336,N,ROSE,Linda,1,FFP,Family First Party,59
WA,1270,The Wikileaks Party,A,1,25337,N,HENG,Henry,2,FFP,Family First Party,60
WA,1270,The Wikileaks Party,A,1,25354,O,STRACHAN,Peter,1,SPP,#Sustainable Population Party,21
WA,1270,The Wikileaks Party,A,1,25355,O,BOURKE,William,2,SPP,#Sustainable Population Party,22
WA,1270,The Wikileaks Party,A,1,25284,P,WANG,Zhenya,1,PUP,Palmer United Party,40
WA,1270,The Wikileaks Party,A,1,25285,P,HEADLAND,Desmond John,2,PUP,Palmer United Party,39
WA,1270,The Wikileaks Party,A,1,25286,P,TERBLANCHE,Chamonix,3,PUP,Palmer United Party,41
WA,1270,The Wikileaks Party,A,1,25326,Q,DROPULICH,Wayne,1,SPRT,Australian Sports Party,13
WA,1270,The Wikileaks Party,A,1,25327,Q,LACKOVIC,Al,2,SPRT,Australian Sports Party,25
WA,1270,The Wikileaks Party,A,1,25298,R,JOHNSTON,David,1,LP,Liberal,51
WA,1270,The Wikileaks Party,A,1,25299,R,CASH,Michaelia,2,LP,Liberal,52
WA,1270,The Wikileaks Party,A,1,25300,R,REYNOLDS,Linda,3,LP,Liberal,53
WA,1270,The Wikileaks Party,A,1,25301,R,BROCKMAN,Slade,4,LP,Liberal,54
WA,1270,The Wikileaks Party,A,1,25316,S,BOW,Murray,1,ASP,Shooters and Fishers,74
WA,1270,The Wikileaks Party,A,1,25317,S,PARKES,John,2,ASP,Shooters and Fishers,75
WA,1270,The Wikileaks Party,A,1,25294,T,MOYLAN,James M,1,HMP,Help End Marijuana Prohibition (HEMP) Party,4
WA,1270,The Wikileaks Party,A,1,25295,T,MOYLAN,Tayla,2,HMP,Help End Marijuana Prohibition (HEMP) Party,23
WA,1270,The Wikileaks Party,A,1,25350,U,ANDERSON,Marcus,1,RPA,Republican Party of Australia,37
WA,1270,The Wikileaks Party,A,1,25351,U,HOLLICK,Rohan,2,RPA,Republican Party of Australia,38
WA,1270,The Wikileaks Party,A,1,25320,V,KATZ-BARBER,Max,1,SMK,Smokers Rights,65
WA,1270,The Wikileaks Party,A,1,25321,V,DI RADO,Daniel Jay,2,SMK,Smokers Rights,66
WA,1270,The Wikileaks Party,A,1,25346,W,McCARTHY,Daniel,1,AFLP,Australian Fishing and Lifestyle Party,67
WA,1270,The Wikileaks Party,A,1,25347,W,WYATT,Suzzanne,2,AFLP,Australian Fishing and Lifestyle Party,68
WA,1270,The Wikileaks Party,A,1,25292,X,MORAN,Ray,1,AUC,Australian Christians,69
WA,1270,The Wikileaks Party,A,1,25293,X,MOSELEY,Justin,2,AUC,Australian Christians,70
WA,1270,The Wikileaks Party,A,1,25332,Y,CUTHBERT,Simon Andrew,1,SPA,Secular Party of Australia,30
WA,1270,The Wikileaks Party,A,1,25333,Y,THOMPSON,Andrew,2,SPA,Secular Party of Australia,31
WA,1270,The Wikileaks Party,A,1,25282,Z,FOREMAN,Jane Elizabeth,1,RUA,Rise Up Australia Party,76
WA,1270,The Wikileaks Party,A,1,25283,Z,BENNETT,Joanne,2,RUA,Rise Up Australia Party,77
WA,1270,The Wikileaks Party,A,1,25304,AA,LUDLAM,Scott,1,GRN,The Greens (WA),3
WA,1270,The Wikileaks Party,A,1,25305,AA,CUNNINGHAM,Christine,2,GRN,The Greens (WA),14
WA,1270,The Wikileaks Party,A,1,25306,AA,JAMES,Ian,3,GRN,The Greens (WA),17
WA,1270,The Wikileaks Party,A,1,25307,AA,STEELE-JOHN,Jordon,4,GRN,The Greens (WA),18
WA,1270,The Wikileaks Party,A,1,25308,AA,NIELSEN-HARVEY,Sarah,5,GRN,The Greens (WA),19
WA,1270,The Wikileaks Party,A,1,25309,AA,CULLITY,Judith,6,GRN,The Greens (WA),20
WA,1270,The Wikileaks Party,A,1,25340,AB,GOOD,Adrian,1,DLP,DLP Democratic Labour,28
WA,1270,The Wikileaks Party,A,1,25341,AB,KIERNAN,Cathy,2,DLP,DLP Democratic Labour,29
WA,1270,The Wikileaks Party,A,1,25348,AC,BOUWMAN,Phillip,1,KAP,Katter's Australian Party,35
WA,1270,The Wikileaks Party,A,1,25349,AC,HODDINOTT,Susan,2,KAP,Katter's Australian Party,36
WA,1270,The Wikileaks Party,A,1,25302,AD,LOVE,Katrina,1,AJP,Animal Justice Party,6
WA,1270,The Wikileaks Party,A,1,25303,AD,SUTTON,Alicia,2,AJP,Animal Justice Party,7
WA,1270,The Wikileaks Party,A,1,25314,AE,PATTEN,Fiona,1,ASXP,Sex Party,5
WA,1270,The Wikileaks Party,A,1,25315,AE,COLEMAN,Mark,2,ASXP,Sex Party,24
WA,1270,The Wikileaks Party,A,1,25287,AF,BAINBRIDGE,Alex,1,SAL,Socialist Alliance,11
WA,1270,The Wikileaks Party,A,1,25288,AF,JENKINS,Chris,2,SAL,Socialist Alliance,16
WA,1270,The Wikileaks Party,A,1,25322,AG,FISHLOCK,David,1,ODR,Outdoor Recreation Party (Stop The Greens),72
WA,1270,The Wikileaks Party,A,1,25323,AG,DE LIMA,Joaquim,2,ODR,Outdoor Recreation Party (Stop The Greens),73
WA,1270,The Wikileaks Party,A,1,25289,UG,VAN LIESHOUT,Teresa,1,IND,Independent,71
WA,1270,The Wikileaks Party,A,1,25310,UG,MUBARAK,Kim,2,IND,Independent,50
WA,1281,The Nationals,B,1,25312,A,MESZAROS,Tibor,1,WKP,The Wikileaks Party,42
WA,1281,The Nationals,B,1,25313,A,NICOL,Lucy,2,WKP,The Wikileaks Party,43
WA,1281,The Nationals,B,1,25334,B,VAN STYN,Shane,1,NP,The Nationals,1
WA,1281,The Nationals,B,1,25335,B,DE GRUSSA,Colin Stephen,2,NP,The Nationals,2
WA,1281,The Nationals,B,1,25356,C,WOOLF,Russell,1,,,35
WA,1281,The Nationals,B,1,25357,C,JAMES,Verity,2,,,36
WA,1281,The Nationals,B,1,25280,D,FERNANDEZ,Chris,1,DEM,Australian Democrats,33
WA,1281,The Nationals,B,1,25281,D,THIEL,William,2,DEM,Australian Democrats,34
WA,1281,The Nationals,B,1,25296,E,BOYD,Fletcher,1,PIR,Pirate Party,62
WA,1281,The Nationals,B,1,25297,E,ALLEN,Michelle,2,PIR,Pirate Party,63
WA,1281,The Nationals,B,1,25328,F,BULLOCK,Joe,1,ALP,Australian Labor Party,44
WA,1281,The Nationals,B,1,25329,F,PRATT,Louise,2,ALP,Australian Labor Party,45
WA,1281,The Nationals,B,1,25330,F,HILL,Shane,3,ALP,Australian Labor Party,46
WA,1281,The Nationals,B,1,25331,F,ANDRIC,Klara,4,ALP,Australian Labor Party,47
WA,1281,The Nationals,B,1,25342,G,HOWLETT,Richie,1,AMEP,Australian Motoring Enthusiast Party,21
WA,1281,The Nationals,B,1,25343,G,ZANDVLIET,Rob,2,AMEP,Australian Motoring Enthusiast Party,22
WA,1281,The Nationals,B,1,25338,H,KOUTALIANOS,Bill,1,TCS,Freedom and Prosperity Party,70
WA,1281,The Nationals,B,1,25339,H,ASHBY,Leon,2,TCS,Freedom and Prosperity Party,71
WA,1281,The Nationals,B,1,25324,I,NITSCHKE,Philip,1,VEP,Voluntary Euthanasia Party,64
WA,1281,The Nationals,B,1,25325,I,DUFFIELD,Jim,2,VEP,Voluntary Euthanasia Party,65
WA,1281,The Nationals,B,1,25318,J,FRYAR,Jim,1,LDP,Liberal Democrats,15
WA,1281,The Nationals,B,1,25319,J,HAMILTON,Neil,2,LDP,Liberal Democrats,16
WA,1281,The Nationals,B,1,25290,K,PARKES,Brian W,1,VCE,Australian Voice Party,68
WA,1281,The Nationals,B,1,25291,K,BUTLER,Sean,2,VCE,Australian Voice Party,69
WA,1281,The Nationals,B,1,25344,L,BEZANT,Ken,1,BAP,Building Australia Party,17
WA,1281,The Nationals,B,1,25345,L,SMEE,Daniel Ross,2,BAP,Building Australia Party,18
WA,1281,The Nationals,B,1,25352,M,FELS,Anthony James,1,BRP,Mutual Party,31
WA,1281,The Nationals,B,1,25353,M,CHANDRA,Felly,2,BRP,Mutual Party,32
WA,1281,The Nationals,B,1,25336,N,ROSE,Linda,1,FFP,Family First Party,13
WA,1281,The Nationals,B,1,25337,N,HENG,Henry,2,FFP,Family First Party,14
WA,1281,The Nationals,B,1,25354,O,STRACHAN,Peter,1,SPP,#Sustainable Population Party,54
WA,1281,The Nationals,B,1,25355,O,BOURKE,William,2,SPP,#Sustainable Population Party,55
WA,1281,The Nationals,B,1,25284,P,WANG,Zhenya,1,PUP,Palmer United Party,37
WA,1281,The Nationals,B,1,25285,P,HEADLAND,Desmond John,2,PUP,Palmer United Party,38
WA,1281,The Nationals,B,1,25286,P,TERBLANCHE,Chamonix,3,PUP,Palmer United Party,39
WA,1281,The Nationals,B,1,25326,Q,DROPULICH,Wayne,1,SPRT,Australian Sports Party,19
WA,1281,The Nationals,B,1,25327,Q,LACKOVIC,Al,2,SPRT,Australian Sports Party,20
WA,1281,The Nationals,B,1,25298,R,JOHNSTON,David,1,LP,Liberal,3
WA,1281,The Nationals,B,1,25299,R,CASH,Michaelia,2,LP,Liberal,4
WA,1281,The Nationals,B,1,25300,R,REYNOLDS,Linda,3,LP,Liberal,5
WA,1281,The Nationals,B,1,25301,R,BROCKMAN,Slade,4,LP,Liberal,6
WA,1281,The Nationals,B,1,25316,S,BOW,Murray,1,ASP,Shooters and Fishers,25
WA,1281,The Nationals,B,1,25317,S,PARKES,John,2,ASP,Shooters and Fishers,26
WA,1281,The Nationals,B,1,25294,T,MOYLAN,James M,1,HMP,Help End Marijuana Prohibition (HEMP) Party,74
WA,1281,The Nationals,B,1,25295,T,MOYLAN,Tayla,2,HMP,Help End Marijuana Prohibition (HEMP) Party,75
WA,1281,The Nationals,B,1,25350,U,ANDERSON,Marcus,1,RPA,Republican Party of Australia,29
WA,1281,The Nationals,B,1,25351,U,HOLLICK,Rohan,2,RPA,Republican Party of Australia,30
WA,1281,The Nationals,B,1,25320,V,KATZ-BARBER,Max,1,SMK,Smokers Rights,66
WA,1281,The Nationals,B,1,25321,V,DI RADO,Daniel Jay,2,SMK,Smokers Rights,67
WA,1281,The Nationals,B,1,25346,W,McCARTHY,Daniel,1,AFLP,Australian Fishing and Lifestyle Party,9
WA,1281,The Nationals,B,1,25347,W,WYATT,Suzzanne,2,AFLP,Australian Fishing and Lifestyle Party,10
WA,1281,The Nationals,B,1,25292,X,MORAN,Ray,1,AUC,Australian Christians,11
WA,1281,The Nationals,B,1,25293,X,MOSELEY,Justin,2,AUC,Australian Christians,12
WA,1281,The Nationals,B,1,25332,Y,CUTHBERT,Simon Andrew,1,SPA,Secular Party of Australia,40
WA,1281,The Nationals,B,1,25333,Y,THOMPSON,Andrew,2,SPA,Secular Party of Australia,41
WA,1281,The Nationals,B,1,25282,Z,FOREMAN,Jane Elizabeth,1,RUA,Rise Up Australia Party,56
WA,1281,The Nationals,B,1,25283,Z,BENNETT,Joanne,2,RUA,Rise Up Australia Party,57
WA,1281,The Nationals,B,1,25304,AA,LUDLAM,Scott,1,GRN,The Greens (WA),48
WA,1281,The Nationals,B,1,25305,AA,CUNNINGHAM,Christine,2,GRN,The Greens (WA),49
WA,1281,The Nationals,B,1,25306,AA,JAMES,Ian,3,GRN,The Greens (WA),50
WA,1281,The Nationals,B,1,25307,AA,STEELE-JOHN,Jordon,4,GRN,The Greens (WA),51
WA,1281,The Nationals,B,1,25308,AA,NIELSEN-HARVEY,Sarah,5,GRN,The Greens (WA),52
WA,1281,The Nationals,B,1,25309,AA,CULLITY,Judith,6,GRN,The Greens (WA),53
WA,1281,The Nationals,B,1,25340,AB,GOOD,Adrian,1,DLP,DLP Democratic Labour,7
WA,1281,The Nationals,B,1,25341,AB,KIERNAN,Cathy,2,DLP,DLP Democratic Labour,8
WA,1281,The Nationals,B,1,25348,AC,BOUWMAN,Phillip,1,KAP,Katter's Australian Party,27
WA,1281,The Nationals,B,1,25349,AC,HODDINOTT,Susan,2,KAP,Katter's Australian Party,28
WA,1281,The Nationals,B,1,25302,AD,LOVE,Katrina,1,AJP,Animal Justice Party,60
WA,1281,The Nationals,B,1,25303,AD,SUTTON,Alicia,2,AJP,Animal Justice Party,61
WA,1281,The Nationals,B,1,25314,AE,PATTEN,Fiona,1,ASXP,Sex Party,58
WA,1281,The Nationals,B,1,25315,AE,COLEMAN,Mark,2,ASXP,Sex Party,59
WA,1281,The Nationals,B,1,25287,AF,BAINBRIDGE,Alex,1,SAL,Socialist Alliance,72
WA,1281,The Nationals,B,1,25288,AF,JENKINS,Chris,2,SAL,Socialist Alliance,73
WA,1281,The Nationals,B,1,25322,AG,FISHLOCK,David,1,ODR,Outdoor Recreation Party (Stop The Greens),23
WA,1281,The Nationals,B,1,25323,AG,DE LIMA,Joaquim,2,ODR,Outdoor Recreation Party (Stop The Greens),24
WA,1281,The Nationals,B,1,25289,UG,VAN LIESHOUT,Teresa,1,IND,Independent,76
WA,1281,The Nationals,B,1,25310,UG,MUBARAK,Kim,2,IND,Independent,77
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25312,A,MESZAROS,Tibor,1,WKP,The Wikileaks Party,34
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25313,A,NICOL,Lucy,2,WKP,The Wikileaks Party,35
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25334,B,VAN STYN,Shane,1,NP,The Nationals,36
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25335,B,DE GRUSSA,Colin Stephen,2,NP,The Nationals,37
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25356,C,WOOLF,Russell,1,,,1
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25357,C,JAMES,Verity,2,,,2
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25280,D,FERNANDEZ,Chris,1,DEM,Australian Democrats,38
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25281,D,THIEL,William,2,DEM,Australian Democrats,39
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25296,E,BOYD,Fletcher,1,PIR,Pirate Party,40
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25297,E,ALLEN,Michelle,2,PIR,Pirate Party,41
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25328,F,BULLOCK,Joe,1,ALP,Australian Labor Party,12
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25329,F,PRATT,Louise,2,ALP,Australian Labor Party,9
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25330,F,HILL,Shane,3,ALP,Australian Labor Party,10
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25331,F,ANDRIC,Klara,4,ALP,Australian Labor Party,11
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25342,G,HOWLETT,Richie,1,AMEP,Australian Motoring Enthusiast Party,7
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25343,G,ZANDVLIET,Rob,2,AMEP,Australian Motoring Enthusiast Party,8
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25338,H,KOUTALIANOS,Bill,1,TCS,Freedom and Prosperity Party,70
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25339,H,ASHBY,Leon,2,TCS,Freedom and Prosperity Party,71
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25324,I,NITSCHKE,Philip,1,VEP,Voluntary Euthanasia Party,3
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25325,I,DUFFIELD,Jim,2,VEP,Voluntary Euthanasia Party,4
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25318,J,FRYAR,Jim,1,LDP,Liberal Democrats,72
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25319,J,HAMILTON,Neil,2,LDP,Liberal Democrats,73
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25290,K,PARKES,Brian W,1,VCE,Australian Voice Party,74
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25291,K,BUTLER,Sean,2,VCE,Australian Voice Party,75
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25344,L,BEZANT,Ken,1,BAP,Building Australia Party,54
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25345,L,SMEE,Daniel Ross,2,BAP,Building Australia Party,55
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25352,M,FELS,Anthony James,1,BRP,Mutual Party,27
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25353,M,CHANDRA,Felly,2,BRP,Mutual Party,28
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25336,N,ROSE,Linda,1,FFP,Family First Party,76
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25337,N,HENG,Henry,2,FFP,Family First Party,77
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25354,O,STRACHAN,Peter,1,SPP,#Sustainable Population Party,29
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25355,O,BOURKE,William,2,SPP,#Sustainable Population Party,30
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25284,P,WANG,Zhenya,1,PUP,Palmer United Party,31
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25285,P,HEADLAND,Desmond John,2,PUP,Palmer United Party,32
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25286,P,TERBLANCHE,Chamonix,3,PUP,Palmer United Party,33
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25326,Q,DROPULICH,Wayne,1,SPRT,Australian Sports Party,5
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25327,Q,LACKOVIC,Al,2,SPRT,Australian Sports Party,6
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25298,R,JOHNSTON,David,1,LP,Liberal,19
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25299,R,CASH,Michaelia,2,LP,Liberal,20
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25300,R,REYNOLDS,Linda,3,LP,Liberal,56
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25301,R,BROCKMAN,Slade,4,LP,Liberal,57
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25316,S,BOW,Murray,1,ASP,Shooters and Fishers,25
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25317,S,PARKES,John,2,ASP,Shooters and Fishers,26
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25294,T,MOYLAN,James M,1,HMP,Help End Marijuana Prohibition (HEMP) Party,21
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25295,T,MOYLAN,Tayla,2,HMP,Help End Marijuana Prohibition (HEMP) Party,22
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25350,U,ANDERSON,Marcus,1,RPA,Republican Party of Australia,58
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25351,U,HOLLICK,Rohan,2,RPA,Republican Party of Australia,59
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25320,V,KATZ-BARBER,Max,1,SMK,Smokers Rights,60
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25321,V,DI RADO,Daniel Jay,2,SMK,Smokers Rights,61
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25346,W,McCARTHY,Daniel,1,AFLP,Australian Fishing and Lifestyle Party,23
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25347,W,WYATT,Suzzanne,2,AFLP,Australian Fishing and Lifestyle Party,24
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25292,X,MORAN,Ray,1,AUC,Australian Christians,62
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25293,X,MOSELEY,Justin,2,AUC,Australian Christians,63
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25332,Y,CUTHBERT,Simon Andrew,1,SPA,Secular Party of Australia,48
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25333,Y,THOMPSON,Andrew,2,SPA,Secular Party of Australia,49
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25282,Z,FOREMAN,Jane Elizabeth,1,RUA,Rise Up Australia Party,64
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25283,Z,BENNETT,Joanne,2,RUA,Rise Up Australia Party,65
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25304,AA,LUDLAM,Scott,1,GRN,The Greens (WA),13
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25305,AA,CUNNINGHAM,Christine,2,GRN,The Greens (WA),14
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25306,AA,JAMES,Ian,3,GRN,The Greens (WA),15
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25307,AA,STEELE-JOHN,Jordon,4,GRN,The Greens (WA),16
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25308,AA,NIELSEN-HARVEY,Sarah,5,GRN,The Greens (WA),17
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25309,AA,CULLITY,Judith,6,GRN,The Greens (WA),18
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25340,AB,GOOD,Adrian,1,DLP,DLP Democratic Labour,66
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25341,AB,KIERNAN,Cathy,2,DLP,DLP Democratic Labour,67
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25348,AC,BOUWMAN,Phillip,1,KAP,Katter's Australian Party,42
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25349,AC,HODDINOTT,Susan,2,KAP,Katter's Australian Party,43
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25302,AD,LOVE,Katrina,1,AJP,Animal Justice Party,46
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25303,AD,SUTTON,Alicia,2,AJP,Animal Justice Party,47
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25314,AE,PATTEN,Fiona,1,ASXP,Sex Party,44
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25315,AE,COLEMAN,Mark,2,ASXP,Sex Party,45
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25287,AF,BAINBRIDGE,Alex,1,SAL,Socialist Alliance,50
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25288,AF,JENKINS,Chris,2,SAL,Socialist Alliance,51
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25322,AG,FISHLOCK,David,1,ODR,Outdoor Recreation Party (Stop The Greens),68
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25323,AG,DE LIMA,Joaquim,2,ODR,Outdoor Recreation Party (Stop The Greens),69
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25289,UG,VAN LIESHOUT,Teresa,1,IND,Independent,52
WA,1292,"Unendorsed - WOOLF, Russell",C,1,25310,UG,MUBARAK,Kim,2,IND,Independent,53
WA,1259,Australian Democrats,D,1,25312,A,MESZAROS,Tibor,1,WKP,The Wikileaks Party,9
WA,1259,Australian Democrats,D,1,25313,A,NICOL,Lucy,2,WKP,The Wikileaks Party,10
WA,1259,Australian Democrats,D,1,25334,B,VAN STYN,Shane,1,NP,The Nationals,56
WA,1259,Australian Democrats,D,1,25335,B,DE GRUSSA,Colin Stephen,2,NP,The Nationals,57
WA,1259,Australian Democrats,D,1,25356,C,WOOLF,Russell,1,,,23
WA,1259,Australian Democrats,D,1,25357,C,JAMES,Verity,2,,,24
WA,1259,Australian Democrats,D,1,25280,D,FERNANDEZ,Chris,1,DEM,Australian Democrats,1
WA,1259,Australian Democrats,D,1,25281,D,THIEL,William,2,DEM,Australian Democrats,2
WA,1259,Australian Democrats,D,1,25296,E,BOYD,Fletcher,1,PIR,Pirate Party,19
WA,1259,Australian Democrats,D,1,25297,E,ALLEN,Michelle,2,PIR,Pirate Party,20
WA,1259,Australian Democrats,D,1,25328,F,BULLOCK,Joe,1,ALP,Australian Labor Party,52
WA,1259,Australian Democrats,D,1,25329,F,PRATT,Louise,2,ALP,Australian Labor Party,53
WA,1259,Australian Democrats,D,1,25330,F,HILL,Shane,3,ALP,Australian Labor Party,54
WA,1259,Australian Democrats,D,1,25331,F,ANDRIC,Klara,4,ALP,Australian Labor Party,55
WA,1259,Australian Democrats,D,1,25342,G,HOWLETT,Richie,1,AMEP,Australian Motoring Enthusiast Party,50
